POOState,MONTHS,SumAcres
US-CA,1,1268.06
US-CA,2,4344.19
US-CA,3,962.76
US-CA,4,1067.84
US-CA,5,9864.65
US-CA,6,8356.13
US-CA,7,92388.57
US-CA,8,107871.16
US-CA,9,201825.80
US-CA,10,2655.83
US-CA,11,200.06
US-CA,12,0.05
US-OR,1,11.20
US-OR,2,5.05
US-OR,3,571.90
US-OR,4,27.42
US-OR,5,24.37
US-OR,6,40303.20
US-OR,7,2731.73
US-OR,8,379289.38
US-OR,9,13534.80
US-OR,10,512.26
US-OR,11,298.60
US-OR,12,3.50
US-WA,1,9.00
US-WA,2,181.70
US-WA,3,140.78
US-WA,4,1786.42
US-WA,5,179.53
US-WA,6,4426.98
US-WA,7,7236.44
US-WA,8,134896.44
US-WA,9,69641.93
US-WA,10,4493.03
US-WA,11,457.95
